image_name,id,race,split
0-FaceId-0_align.jpg,m.01q9hh,0,test
102-FaceId-0_align.jpg,m.01q9hh,0,test
33-FaceId-0_align.jpg,m.01q9hh,0,test
14-FaceId-0_align.jpg,m.01q9hh,0,test
51-FaceId-0_align.jpg,m.01q9hh,0,test
106-FaceId-0_align.jpg,m.01q9hh,0,test
97-FaceId-0_align.jpg,m.01q9hh,0,test
71-FaceId-0_align.jpg,m.01q9hh,0,test
89-FaceId-0_align.jpg,m.01q9hh,0,test
35-FaceId-0_align.jpg,m.01q9hh,0,test
46-FaceId-0_align.jpg,m.01q9hh,0,test
80-FaceId-0_align.jpg,m.01q9hh,0,test
75-FaceId-0_align.jpg,m.01q9hh,0,train
70-FaceId-0_align.jpg,m.01q9hh,0,train
25-FaceId-0_align.jpg,m.01q9hh,0,train
38-FaceId-0_align.jpg,m.01q9hh,0,train
54-FaceId-0_align.jpg,m.01q9hh,0,train
10-FaceId-0_align.jpg,m.01q9hh,0,train
65-FaceId-0_align.jpg,m.01q9hh,0,train
60-FaceId-0_align.jpg,m.01q9hh,0,train
32-FaceId-0_align.jpg,m.01q9hh,0,train
81-FaceId-0_align.jpg,m.01q9hh,0,train
9-FaceId-0_align.jpg,m.01q9hh,0,train
47-FaceId-0_align.jpg,m.01q9hh,0,train
94-FaceId-0_align.jpg,m.01q9hh,0,train
90-FaceId-0_align.jpg,m.01q9hh,0,train
21-FaceId-0_align.jpg,m.01q9hh,0,train
79-FaceId-0_align.jpg,m.01q9hh,0,train
49-FaceId-0_align.jpg,m.01q9hh,0,train
92-FaceId-0_align.jpg,m.01q9hh,0,train
58-FaceId-0_align.jpg,m.01q9hh,0,train
55-FaceId-0_align.jpg,m.01q9hh,0,train
12-FaceId-0_align.jpg,m.01q9hh,0,train
4-FaceId-0_align.jpg,m.01q9hh,0,train
37-FaceId-0_align.jpg,m.01q9hh,0,train
99-FaceId-0_align.jpg,m.01q9hh,0,train
26-FaceId-0_align.jpg,m.01q9hh,0,train
98-FaceId-0_align.jpg,m.01q9hh,0,train
101-FaceId-0_align.jpg,m.01q9hh,0,train
95-FaceId-0_align.jpg,m.01q9hh,0,train
91-FaceId-0_align.jpg,m.01q9hh,0,train
83-FaceId-0_align.jpg,m.01q9hh,0,train
41-FaceId-0_align.jpg,m.01q9hh,0,train
67-FaceId-0_align.jpg,m.01q9hh,0,train
42-FaceId-0_align.jpg,m.01q9hh,0,train
1-FaceId-0_align.jpg,m.01q9hh,0,train
69-FaceId-0_align.jpg,m.01q9hh,0,train
52-FaceId-0_align.jpg,m.01q9hh,0,train
96-FaceId-0_align.jpg,m.01q9hh,0,train
31-FaceId-0_align.jpg,m.01q9hh,0,train
68-FaceId-0_align.jpg,m.01q9hh,0,train
64-FaceId-0_align.jpg,m.01q9hh,0,train
3-FaceId-0_align.jpg,m.01q9hh,0,train
20-FaceId-0_align.jpg,m.01q9hh,0,train
17-FaceId-0_align.jpg,m.01q9hh,0,train
8-FaceId-0_align.jpg,m.01q9hh,0,train
48-FaceId-0_align.jpg,m.01q9hh,0,train
